internalTaxonId,scientificName,name,language,main
164022,Leersia hexandra,Shillakh,Arabic,false
164022,Leersia hexandra,Shullekh,Arabic,false
164022,Leersia hexandra,Southern Cut Grass,English,true
164064,Phalaris arundinacea,Reed Canary Grass,English,false
164064,Phalaris arundinacea,Alpiste faux roseau,French,false
164064,Phalaris arundinacea,Reed Canary-grass,English,true
164156,Alopecurus aequalis,Coda di Topo Arrossata,Italian,false
164156,Alopecurus aequalis,Vulpin Roux,French,false
164156,Alopecurus aequalis,Orange Foxtail,English,true
164340,Arundo donax,Canna Domestica,Italian,false
164340,Arundo donax,Canne de Provence,French,false
164340,Arundo donax,Ghaab,Arabic,false
164340,Arundo donax,Qalam,Arabic,false
164340,Arundo donax,قصيب,Arabic,false
164340,Arundo donax,Giant Reed,English,true
164348,Pycreus flavidus,Sarıberdi,Turkish,false
164348,Pycreus flavidus,Souchet Jaune,French,false
164348,Pycreus flavidus,Zigolo Globoso,Italian,false
168638,Isachne globosa,Swamp Millet,English,true
168729,Poa annua,Annual Meadow Grass,English,true
168972,Melochia corchorifolia,Chocolate Weed,English,true
168980,Ludwigia adscendens,Creeping water Primrose,English,false
168980,Ludwigia adscendens,Red Ludwigia,English,false
168980,Ludwigia adscendens,Water primrose,English,false
168980,Ludwigia adscendens,Pani Ki Ghas,Hindi,true
169077,Eleocharis dulcis,Củ Năng,Vietnamese,false
169077,Eleocharis dulcis,Củ Mã Thầy,Vietnamese,true
170450,Vigna luteola,Akwari,English,false
170450,Vigna luteola,Dalrymple Vigna,English,false
170450,Vigna luteola,Kashilka,English,false
170450,Vigna luteola,Lubiya Tajyib,English,false
170450,Vigna luteola,Mare,English,false
170450,Vigna luteola,Antaka,French,false
170450,Vigna luteola,Chang Ye Jiang Dou,Chinese,false
170450,Vigna luteola,Famehifary,French,false
170450,Vigna luteola,Frijol Cimarrón,Spanish; Castilian,false
170450,Vigna luteola,Goko,French,false
170450,Vigna luteola,Indola a kwakwa,French,false
170450,Vigna luteola,Ka vuhivahi,French,false
170450,Vigna luteola,Kavuhivuhi,French,false
170450,Vigna luteola,Kisukuna,Swahili,false
170450,Vigna luteola,Masheke,French,false
170450,Vigna luteola,Mugulula,French,false
170450,Vigna luteola,Nagaba-hama-sasage,Japanese,false
170450,Vigna luteola,Telourayy,French,false
170450,Vigna luteola,Toshimbo-shimbo,French,false
170450,Vigna luteola,Umrakuku,French,false
170450,Vigna luteola,Vahipoko,French,false
170450,Vigna luteola,Vahisanjy,French,false
170450,Vigna luteola,Gilibande,French,true
170452,Vigna marina,Notched Cowpea,English,false
170452,Vigna marina,Sea-bean,English,false
170452,Vigna marina,Batatarana,Portuguese,false
170452,Vigna marina,Bin Jiang Dou,Chinese,false
170452,Vigna marina,Hama-azuki,Japanese,false
170452,Vigna marina,Hama-sasage,Japanese,false
170452,Vigna marina,Vigna Marina,Italian,false
170452,Vigna marina,Dune-bean,English,true
175246,Schoenoplectus tabernaemontani,Sea club rush,English,false
175246,Schoenoplectus tabernaemontani,Kuawa,Maori,false
175246,Schoenoplectus tabernaemontani,Souchet de Tabernaemontanus,French,false
175246,Schoenoplectus tabernaemontani,Grey Club-rush,English,true
30534,Pherosphaera fitzgeraldii,Dwarf Mountain Pine,English,true
30535,Agathis atropurpurea,Black Kauri,English,false
