assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
765997,158193,Phyllanthus maderaspatensis,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,PHYLLANTHACEAE,Phyllanthus,maderaspatensis,,,,L.,Least Concern,,3.1,Stable,Global
1019624,164022,Leersia hexandra,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,POACEAE,Leersia,hexandra,,,,Sw.,Least Concern,,3.1,Stable,Global
1021826,164064,Phalaris arundinacea,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,POACEAE,Phalaris,arundinacea,,,,L.,Least Concern,,3.1,Unknown,Global
1025862,164156,Alopecurus aequalis,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,POACEAE,Alopecurus,aequalis,,,,Sobol.,Least Concern,,3.1,Unknown,Global
1041579,164330,Fimbristylis squarrosa,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,CYPERACEAE,Fimbristylis,squarrosa,,,,Vahl,Least Concern,,3.1,Stable,Global
1043245,164340,Arundo donax,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,POACEAE,Arundo,donax,,,,L.,Least Concern,,3.1,Unknown,Global
1044991,164348,Pycreus flavidus,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,CYPERACEAE,Pycreus,flavidus,,,,(Retz.) Koyama,Least Concern,,3.1,Unknown,Global
1048733,164411,Persicaria lapathifolia,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,POLYGONACEAE,Persicaria,lapathifolia,,,,(L.) Delarbre,Least Concern,,3.1,Unknown,Global
1193827,168638,Isachne globosa,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,POACEAE,Isachne,globosa,,,,(Thunb.) Kuntze,Least Concern,,3.1,Increasing,Global
1207818,168688,Ischaemum rugosum,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,POACEAE,Ischaemum,rugosum,,,,Salisb.,Least Concern,,3.1,Unknown,Global
1217340,168729,Poa annua,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,POACEAE,Poa,annua,,,,L.,Least Concern,,3.1,Increasing,Global
1247579,168879,Paspalidium flavidum,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,POACEAE,Paspalidium,flavidum,,,,(Retz.) A.Camus,Least Concern,,3.1,Unknown,Global
