internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
158193,Phyllanthus maderaspatensis,Diasperus maderaspatensis (L.) Kuntze,Diasperus,maderaspatensis,(L.) Kuntze,,
158193,Phyllanthus maderaspatensis,Nellica maderaspatana Raf.,Nellica,maderaspatana,Raf.,,
164022,Leersia hexandra,Oryza  australis A.Braun. ex Schweinf.,Oryza ,australis,A.Braun. ex Schweinf.,,
164022,Leersia hexandra,Oryza hexandra (Sw.) Döll,Oryza,hexandra,(Sw.) Döll,,
164022,Leersia hexandra,Leersia mauritanica Salzm. ex Trin.,Leersia,mauritanica,Salzm. ex Trin.,,
164064,Phalaris arundinacea,Baldingera  arundinacea (L.) Dumort.,Baldingera ,arundinacea,(L.) Dumort.,,
164064,Phalaris arundinacea,Phalaroides arundinacea (L.) Rauschert,Phalaroides,arundinacea,(L.) Rauschert,,
164064,Phalaris arundinacea,Typhoides arundinacea (L.) Moench,Typhoides,arundinacea,(L.) Moench,,
164064,Phalaris arundinacea,Digraphis arundinacea (L.) Trin.,Digraphis,arundinacea,(L.) Trin.,,
164156,Alopecurus aequalis,Alopecurus fulvus Sm.,Alopecurus,fulvus,Sm.,,
164156,Alopecurus aequalis,Alopecurus aristulatus Michx.,Alopecurus,aristulatus,Michx.,,
164156,Alopecurus aequalis,Alopecurus geniculatus L. subsp. fulvus (Sm.) Trab.,Alopecurus,geniculatus,L.,subspecies (plantae),(Sm.) Trab.
164156,Alopecurus aequalis,Alopecurus  aequalis Sobol. subsp. aristulatus  (Michx.) Tzvelev,Alopecurus ,aequalis,Sobol.,subspecies (plantae),(Michx.) Tzvelev
164330,Fimbristylis squarrosa,Scirpus squarrosus (Vahl) Poir.,Scirpus,squarrosus,(Vahl) Poir.,,
164340,Arundo donax,Arundo scriptoria L.,Arundo,scriptoria,L.,,
164340,Arundo donax,Donax sativa (Lam.) C.Presl,Donax,sativa,(Lam.) C.Presl,,
164340,Arundo donax,Donax arundinaceus P. Beauv.,Donax,arundinaceus,P. Beauv.,,
164340,Arundo donax,Aira bengalensis (Retz.) J.F.Gmel.,Aira,bengalensis,(Retz.) J.F.Gmel.,,
164340,Arundo donax,Arundo aegyptiaca E.Vilm.,Arundo,aegyptiaca,E.Vilm.,,
164340,Arundo donax,Arundo bengalensis Retz.,Arundo,bengalensis,Retz.,,
164340,Arundo donax,Arundo bifaria Retz.,Arundo,bifaria,Retz.,,
164340,Arundo donax,Arundo coleotricha (Hack.) Honda,Arundo,coleotricha,(Hack.) Honda,,
164340,Arundo donax,Arundo glauca Bubani,Arundo,glauca,Bubani,,
164340,Arundo donax,"Arundo  hellenica  Danin, Raus & H.Scholz",Arundo ,hellenica ,"Danin, Raus & H.Scholz",,
164340,Arundo donax,Arundo latifolia Salisb.,Arundo,latifolia,Salisb.,,
164340,Arundo donax,Arundo sativa Lam.,Arundo,sativa,Lam.,,
164340,Arundo donax,Arundo scriptoria L.,Arundo,scriptoria,L.,,
164340,Arundo donax,Arundo triflora Roxb.,Arundo,triflora,Roxb.,,
164340,Arundo donax,Arundo versicolor Mill.,Arundo,versicolor,Mill.,,
164340,Arundo donax,Cynodon donax (L.) Raspail,Cynodon,donax,(L.) Raspail,,
164340,Arundo donax,Donax arundinaceus P.Beauv.,Donax,arundinaceus,P.Beauv.,,
164340,Arundo donax,Donax bengalensis (Retz.) P.Beauv.,Donax,bengalensis,(Retz.) P.Beauv.,,
164340,Arundo donax,Donax donax (L.) Asch. & Graebn.,Donax,donax,(L.) Asch. & Graebn. ,,
164340,Arundo donax,Donax sativus C.Presl,Donax,sativus,C.Presl,,
164340,Arundo donax,Donax versicolor (Mill.) P.Beauv.,Donax,versicolor,(Mill.) P.Beauv.,,
164340,Arundo donax,Scolochloa arundinacea (P.Beauv.) Mert. & W.D.J.Koch,Scolochloa,arundinacea,(P.Beauv.) Mert. & W.D.J.Koch,,
164340,Arundo donax,Scolochloa donax (L.) Gaudin,Scolochloa,donax,(L.) Gaudin,,
164340,Arundo donax,Arundo bambusifolia Hook.f.,Arundo,bambusifolia,Hook.f.,,
164348,Pycreus flavidus,Cyperus bubanii Debeaux,Cyperus,bubanii,Debeaux,,
164348,Pycreus flavidus,Cyperus flavidus Retz.,Cyperus,flavidus,Retz.,,
164348,Pycreus flavidus,Cyperus globosus All.,Cyperus,globosus,All.,,
164411,Persicaria lapathifolia,Polygonum lapathifolium L.,Polygonum,lapathifolium,L.,,
164411,Persicaria lapathifolia,Persicaria lapathifolia (L.) Gray,Persicaria,lapathifolia,(L.) Gray,,
164411,Persicaria lapathifolia,Polygonum nodosum Pers.,Polygonum,nodosum,Pers.,,
164411,Persicaria lapathifolia,Polygonum tomentosum Schrank,Polygonum,tomentosum,Schrank,,
168958,Schoenoplectiella articulata,Schoenoplectus articulatus (L.) Palla,Schoenoplectus,articulatus,(L.) Palla,,
168958,Schoenoplectiella articulata,Scirpus articulatus L.,Scirpus,articulatus,L.,,
168972,Melochia corchorifolia,Visenia corchorifolia (L.) Spreng.,Visenia,corchorifolia,(L.) Spreng.,,
168972,Melochia corchorifolia,Riedlea corchorifolia (L.) DC.,Riedlea,corchorifolia,(L.) DC.,,
168972,Melochia corchorifolia,Riedlea supina (L.) DC.,Riedlea,supina,(L.) DC.,,
168972,Melochia corchorifolia,Melochia truncata Willd.,Melochia,truncata,Willd.,,
