internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
158193,Phyllanthus maderaspatensis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,PHYLLANTHACEAE,Phyllanthus,maderaspatensis,,,,,L.,
164022,Leersia hexandra,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,POACEAE,Leersia,hexandra,,,,,Sw.,
164064,Phalaris arundinacea,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,POACEAE,Phalaris,arundinacea,,,,,L.,"<span style=""font-style: italic;"">P. arundinacea</span> includes a variety of taxa, including ssp. <em>rotgesii</em> which is endemic to Corsica, some authors treat this taxon as a species in which case it would probably be considered to be of conservation concern."
164156,Alopecurus aequalis,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,POACEAE,Alopecurus,aequalis,,,,,Sobol.,<p>There are no significant taxonomic issues associated with this name.<em> A. aequalis</em> has been shown to hybridise with <em>A. geniculatus</em> (<em>A</em>. ×<em>haussknechtianus</em> Asch. &amp; Graebn.) which occurs fairly frequently in areas of sympatry but is not considered likely to affect the survival of the species or this evaluation.</p>  <p></p><p> &#160;</p>
164330,Fimbristylis squarrosa,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,CYPERACEAE,Fimbristylis,squarrosa,,,,,Vahl,
164340,Arundo donax,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,POACEAE,Arundo,donax,,,,,L.,
164348,Pycreus flavidus,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,CYPERACEAE,Pycreus,flavidus,,,,,(Retz.) Koyama,
164411,Persicaria lapathifolia,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES,POLYGONACEAE,Persicaria,lapathifolia,,,,,(L.) Delarbre,"A portion of the genus <em>Polygonum</em> was separated as <em>Persicaria</em> leaving only members of the <em>Polygonum aviculare</em> group in the original genus. Whilst generally widely accepted, IPNI (for example) appears to retain <em>Polygonum</em> as the correct genus for this species, under which name it would be <em>P.&#160;lapathifolium</em> L. TROPICOS cites <em>Polygonum lapathifolium</em> var. <em>lapathifolium</em> as the accepted name. <em>P.&#160;lapathifolium</em> is a very variable taxon, to the extent that Tela Botanica lists 43 sub-specific taxa, but IPNI and TROPICOS list only between 10 and 20.&#160;Hybrids have been reported between this taxon and other <em>Persicaria</em> species, but reliable evidence is sparse; as suggested by Flora Nordica hybridisation is likely to be rare and is unlikely to affect the red list assessment.&#160;In the Arabian Peninsula, it appears likely that the treatment of taxa such as&#160;<em>P.&#160;lapathifolia</em>&#160;and&#160;<em>P. persicaria</em>&#160;is not consistent throughout the region."
168638,Isachne globosa,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,POACEAE,Isachne,globosa,,,,,(Thunb.) Kuntze,
168688,Ischaemum rugosum,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,POACEAE,Ischaemum,rugosum,,,,,Salisb.,
168729,Poa annua,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,POACEAE,Poa,annua,,,,,L.,
168879,Paspalidium flavidum,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,POACEAE,Paspalidium,flavidum,,,,,(Retz.) A.Camus,
168896,Eriocaulon setaceum,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,ERIOCAULACEAE,Eriocaulon,setaceum,,,,,L.,
168957,Eriocaulon cinereum,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,ERIOCAULACEAE,Eriocaulon,cinereum,,,,,R.Br.,
168958,Schoenoplectiella articulata,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,CYPERACEAE,Schoenoplectiella,articulata,,,,,(L.) Lye,
168965,Chara zeylanica,PLANTAE,CHAROPHYTA,CHAROPHYACEAE,CHARALES,CHARACEAE,Chara,zeylanica,,,,,Willd.,"It is commonly known as Stoneworts. It is submerged aquatic alga with slender plant body which gets differentiated into nodes and internodes. The internodes are corticated. The nodes are provided with stipulode, branches of limited growth and sex organs. The sex organs are male called globule and females as nucule. The nucule lies above the globule.<br/><br/>This species was first described from Sri Lanka, therefore, the name ""ceylonica"" latinized to ""<em>zeylanica</em>"" though it was first collected from Central america.<br/><br/><span style=""font-style: italic;"">Chara zeylanica </span>is one of the polymorphic species of algae.  Examination of 140 collections of <span style=""font-style: italic;"">Chara zeylanica</span> from 3 southwestern states  shows that a strong dichotomy exists in the collections. Some produce 4-plated  antheridia while others produce 8-plated antheridia. Absolute separation of the  study material is possible on the basis of plate number. In addition, 3 other  characters (length/width ratio of oospores; fertility of first branchlet node;  and number of distal ecorticate branchlet internodes) show strong correlation  with the antheridial type. Preliminary chromosomal work indicates that a  segregation at this level may also be possible. In 4-plated collections  examined, n = 28; 8-plated collections are usually n = 56; however, a few  8-plated collections are n = 42. No conclusion has been reached regarding the  status of the latter collections. Further investigation is needed."
168972,Melochia corchorifolia,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Melochia,corchorifolia,,,,,L.,
168980,Ludwigia adscendens,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,ONAGRACEAE,Ludwigia,adscendens,,,,,(L.) H.Hara,
169037,Cyperus exaltatus,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,CYPERACEAE,Cyperus,exaltatus,,,,,Retz.,"Robust perennial growing usually in tufts, short lignified rhizome abou 1 cm thick, covered with fibres."
169077,Eleocharis dulcis,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,CYPERACEAE,Eleocharis,dulcis,,,,,(Burm.f.) Trin. ex Hensch.,<p><br/></p>  <p>&#160;</p>
170450,Vigna luteola,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FABALES,FABACEAE,Vigna,luteola,,,,,(Jacq.) Benth.,"<p><em>Vigna luteola</em> (Jacq.) Benth. is a genepool tertiary wild relative of both Bambara Groundnut [<em>Vigna subterranea</em> (L.) Verdc. var. <em>subterranea </em>(L.) Verdc.] and Cowpea [<em>Vigna unguiculata</em> (L.) Walp. var. <em>unguiculata </em>(L.) Walp.]. The species is also&#160;classified in Taxon Group 2 of Bambara Groundnut and&#160;Taxon Group 3 of&#160;Cowpea&#160;(Vincent&#160;<em>et al.</em>&#160;2013), following the definition of Maxted&#160;<em>et al.&#160;</em>(2006).<em></em></p>"
170452,Vigna marina,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FABALES,FABACEAE,Vigna,marina,,,,,(Burm.) Merr.,"<p><em>Vigna marina</em>&#160;Merr. comprises two subspecies: subsp.<em>&#160;marina&#160;</em>and subsp.<em>&#160;oblonga</em>&#160;(Benth.) Padulosi (Maxted&#160;<em>et al.&#160;</em>2004).&#160;<em>Vigna marina</em>&#160;is also cultivated (USDA, Agricultural Research Service, National Plant Germplasm System 2019) but only wild populations will be considered in this threat assessment. In its wild form,&#160;<em>V. marina</em>&#160;is a primary wild relative of dine bean, the cultivated form of the species.&#160;<em>Vigna marina</em> is a genepool tertiary wild relative of both Bambara Groundnut [<em>Vigna subterranea</em> (L.) Verdc. var. <em>subterranea </em>(L.) Verdc.] and Cowpea [<em>Vigna unguiculata</em> (L.) Walp. var. <em>unguiculata </em>(L.) Walp.]. The species is also&#160;classified in Taxon Group 2 of Bambara Groundnut and&#160;Taxon Group 3 of&#160;Cowpea&#160;(Vincent&#160;<em>et al.</em>&#160;2013), following the definition of Maxted&#160;<em>et al.&#160;</em>(2006).<em></em></p>"
175246,Schoenoplectus tabernaemontani,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,CYPERACEAE,Schoenoplectus,tabernaemontani,,,,,(C.C.Gmel.) Palla,"Some authorities treat&#160;<span style=""font-style: italic;"">Schoenoplectus tabernaemontani </span>as a subspecies of <span style=""font-style: italic;"">S.&#160;lacustris </span>(e.g., Sell and Murrell 1996, Castroviejo <span style=""font-style: italic;"">et al</span>. 2008) while others (such as TROPICOS) maintain it within <span style=""font-style: italic;"">Scirpus</span>. In Euro-Med checklist this is a synony of S. lacustris subsp. glaucus (Sm.) Bech (Euro+Med PlantBase).&#160;<br/><br/><span style=""font-style: italic;"">Schoenoplectus tabernaemontani</span> hybridises with <span style=""font-style: italic;"">S.&#160;triqueter</span> (L.) Palla and is reported to hybridise with <span style=""font-style: italic;"">S.&#160;lacustris</span>, however the latter is unproven whilst the former is not sufficiently frequent to affect the Red List assessment for this species (Jermy <span style=""font-style: italic;"">et al</span>. 2007)."
176916,Scleria tessellata,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,CYPERACEAE,Scleria,tessellata,,,,,Willd.,
194166,Thelypteris confluens,PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,POLYPODIALES,THELYPTERIDACEAE,Thelypteris,confluens,,,,,(Thunb.) C.V.Morton,
30532,Athrotaxis laxifolia,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,CUPRESSACEAE,Athrotaxis,laxifolia,,,,,Hook.,"This genus was formerly included under the family Taxodiaceae. That family is now merged with Cupressaceae (see Farjon 2005). <br/><br/>In Tasmania this taxon is considered to be a hybrid between two other species. The evidence is inconclusive and if of hybrid origin, it is more likely to be a nothospecies than that each individual tree is an F1 only. In cultivation these trees breed true to type."
30534,Pherosphaera fitzgeraldii,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,PODOCARPACEAE,Pherosphaera,fitzgeraldii,,,,,(F.Muell.) Hook.f.,
30535,Agathis atropurpurea,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,ARAUCARIACEAE,Agathis,atropurpurea,,,,,B.Hyland,
30536,Agathis microstachya,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,ARAUCARIACEAE,Agathis,microstachya,,,,,J.F.Bailey &amp; C.White,
30542,Callitris oblonga,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,CUPRESSACEAE,Callitris,oblonga,,,,,Rich. &amp; A.Rich.,
31852,Santalum album,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SANTALALES,SANTALACEAE,Santalum,album,,,,,L.,
32054,Athrotaxis cupressoides,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,CUPRESSACEAE,Athrotaxis,cupressoides,,,,,D.Don,This genus was formerly included under the family Taxodiaceae. That family is now merged with Cupressaceae (see Farjon 2005).
32055,Athrotaxis selaginoides,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,CUPRESSACEAE,Athrotaxis,selaginoides,,,,,D.Don,This genus was formerly included under the family Taxodiaceae. That family is now merged with Cupressaceae (see Farjon 2005).
32310,Intsia bijuga,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FABALES,FABACEAE,Intsia,bijuga,,,,,(Colebr.) Kuntze,
33714,Wrightia laevis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES,APOCYNACEAE,Wrightia,laevis,,,,,Hook.f.,
34064,Podocarpus dispermus,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,PODOCARPACEAE,Podocarpus,dispermus,,,,,C.T.White,
34066,Podocarpus drouynianus,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,PODOCARPACEAE,Podocarpus,drouynianus,,,,,F.Muell.,
34070,Callitris acuminata,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,CUPRESSACEAE,Callitris,acuminata,,,,,(Parl.) F.Muell.,"Recent phylogenetic studies indicate that <em>Actinostrobus</em> should be included with <em>Callitris</em> (Leslie <em>et al</em>. 2012, 2018; Piggin and Bruhl 2010)."
34071,Callitris pyramidalis,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,CUPRESSACEAE,Callitris,pyramidalis,,,,,(Miq. in Lehm.) J.E.Piggin &amp; J.J.Bruhl,"Recent phylogenetic studies indicate that <em>Actinostrobus</em> should be included with <em>Callitris</em> (Leslie <em>et al</em>. 2012, 2018; Piggin and Bruhl 2010)."
34072,Callitris baileyi,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,CUPRESSACEAE,Callitris,baileyi,,,,,C.T.White,
34073,Callitris drummondii,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,CUPRESSACEAE,Callitris,drummondii,,,,,(Parl.) F.Muell.,
34074,Callitris monticola,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,CUPRESSACEAE,Callitris,monticola,,,,,J.Garden,
34075,Callitris roei,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,CUPRESSACEAE,Callitris,roei,,,,,(Endl.) F.Muell.,
34100,Podocarpus smithii,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,PODOCARPACEAE,Podocarpus,smithii,,,,,de Laub.,
34107,Prumnopitys ladei,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,PODOCARPACEAE,Prumnopitys,ladei,,,,,(F.M.Bailey) de Laub.,
34153,Lagarostrobos franklinii,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,PODOCARPACEAE,Lagarostrobos,franklinii,,,,,(Hook.f.) Quinn,
39157,Archidium elatum,PLANTAE,BRYOPHYTA,BRYOPSIDA,ARCHIDIALES,ARCHIDIACEAE,Archidium,elatum,,,,,Dixon &amp; Sainsbury,
