genus,prop_endemic,species_number
Abelmoschus,0,3
Abildgaardia,1,2
Abrodictyum,0.3333333333333333,3
Abroma,1,1
Abrophyllum,1,1
Abrotanella,0.6666666666666666,3
Abrus,0,1
Abutilon,0.8333333333333334,24
Acacia,0.9763257575757576,1056
Acaena,0.3333333333333333,6
Acalypha,0.5,6
Acanthocarpus,1,7
Acanthocladium,1,1
Acanthus,0,2
Aceratium,1,5
Achnophora,1,1
Achyranthes,0.5,4
Acianthus,1,11
Acidonia,1,1
Aciphylla,1,2
Ackama,1,2
Acmella,0,1
Acomis,1,4
Acrachne,0,1
Acradenia,1,2
Acriopsis,1,1
Acronychia,0.8571428571428571,21
Acrophyllum,1,1
Acrostichum,0,2
Acrothamnus,1,4
Acrotriche,1,18
Actephila,0.9285714285714286,14
Actinobole,1,4
Actinodium,1,1
Actinoschoenus,1,5
Actinoscirpus,0,1
Actinostachys,0,2
Actinotus,1,19
Actites,1,1
Acunniana,1,1
Adansonia,1,1
Adelphacme,1,1
Adenanthera,0.5,2
Adenanthos,1,31
Adenia,0,1
Adenochilus,1,1
Adenosma,0.5,2
Adenostemma,0.5,2
Adiantum,0.25,8
Adriana,1,2
Aegialitis,0,1
Aegiceras,0,1
Aeginetia,1,1
Aenictophyton,1,2
Aerva,0,1
Aeschynomene,0.3333333333333333,3
Afrohybanthus,0.5,4
Agastachys,1,1
Agathis,0.6666666666666666,3
Agiortia,1,3
Aglaia,0.3333333333333333,12
Agonis,1,4
Agrostis,0.7272727272727273,11
Agrostocrinum,1,2
Aidia,0.6666666666666666,3
Ailanthus,0,2
Ajuga,1,2
Akania,1,1
Alangium,0.5,2
Alania,1,1
Albizia,0.2,5
Alchemilla,0,1
Alchornea,0.6666666666666666,3
Aldrovanda,1,1
Alectryon,0.8,15
Aleurites,0,2
Alexfloydia,1,1
Alexgeorgea,1,3
Alisma,0,1
Allittia,1,2
Allocasuarina,1,61
Allophylus,0,1
Allopterigeron,1,1
Allosyncarpia,1,1
Alloteropsis,0,2
Alloxylon,0.6666666666666666,3
Almaleea,1,5
Alocasia,0.5,2
Alphitonia,0.6,5
Alpinia,0.8,5
Alstonia,0.3333333333333333,6
Alternanthera,0.3333333333333333,6
Althaea,1,1
Althenia,0.8571428571428571,7
Aluta,1,5
Alyogyne,1,4
Alysicarpus,0.8333333333333334,6
Alyxia,0.7333333333333333,15
Amaracarpus,0,2
Amaranthus,0.8181818181818182,11
Ammannia,0.7,10
Ammobium,1,2
Amomum,0.5,2
Amorphophallus,0,2
Amorphospermum,1,1
Ampelocissus,0.5,4
Ampelopteris,0,1
Amperea,1,8
Amphibolis,1,2
Amphibromus,0.9,10
Amphineuron,0.75,4
Amphipogon,1,9
Amyema,0.8461538461538461,39
Amylotheca,0.5,2
Anacampseros,1,1
Anacolosa,0,1
Anarthria,1,6
Ancistrachne,1,2
Andersonia,1,29
Androcalva,1,33
Androstoma,1,1
Aneilema,0.75,4
Anemocarpa,1,3
Anemone,1,1
Angianthus,1,21
Angiopteris,0,1
Angophora,1,10
Anigozanthos,1,11
Aniseia,0,1
Anisomeles,0.8695652173913043,23
Anisopogon,1,1
Anisotome,1,1
Anodopetalum,1,1
Anoectochilus,1,1
Anogramma,0,1
Anopterus,1,2
Anthobolus,1,3
Anthocarapa,0,1
Anthocercis,1,10
Anthosachne,0.8,5
Anthotium,1,4
Anthotroche,1,3
Antiaris,0,1
Anticoryne,1,3
Antidesma,0.2,5
Antirhea,0.6666666666666666,3
Antrophyum,0.25,4
Aotus,1,17
Apalochlamys,1,1
Apatophyllum,1,5
Aphananthe,0,1
Aphanes,1,2
Aphanopetalum,1,2
Aphelia,1,6
Aphyllodium,0.8571428571428571,7
Aphyllorchis,1,2
Apium,0.6666666666666666,3
Apluda,0,1
Apodasmia,1,2
Apodytes,1,1
Aponogeton,1,11
Apostasia,0,1
Apowollastonia,1,7
Appendicula,1,1
Arabidella,1,7
Arachniodes,0,1
Araucaria,0.3333333333333333,3
Archeria,1,5
Archidendron,0.7,10
Archidendropsis,1,3
Archirhodomyrtus,1,1
Archontophoenix,1,6
Ardisia,0.6666666666666666,6
Arenga,0.6666666666666666,3
Areocleome,1,1
Argentipallium,1,5
Argophyllum,1,11
Argusia,0,1
Argyrodendron,0.75,4
Argyroglottis,1,1
Argyrotegium,0.5,4
Aristida,0.8793103448275862,58
Aristolochia,0.9230769230769231,13
Aristotelia,1,2
Arivela,0.9230769230769231,13
Arnhemia,1,1
Arnocrinum,1,3
Arrhenechthites,1,1
Artabotrys,1,1
Artanema,0,1
Arthragrostis,1,4
Arthraxon,0,2
Arthrochilus,0.9,10
Arthropodium,1,7
Arthropteris,0.25,4
Arthrostylis,1,1
Artocarpus,0,1
Arundinella,0.5,4
Arytera,0.4444444444444444,9
Asparagus,0,1
Asperula,1,21
Asplenium,0.3333333333333333,36
Astartea,1,22
Astelia,0.6666666666666666,3
Asteridea,1,9
Asterolasia,1,17
Asteromyrtus,0.5,6
Asterotrichion,1,1
Astonia,1,1
Astrebla,1,4
Astroloma,1,21
Astrotricha,1,19
Astus,1,4
Asystasia,0.5,2
Atalaya,0.9166666666666666,12
Atherosperma,1,1
Athertonia,1,1
Athroisma,0,1
Athrotaxis,1,2
Atkinsonia,1,1
Atractocarpus,0.8571428571428571,7
Atriplex,0.9354838709677419,62
Auranticarpa,1,6
Australina,0,1
Australopyrum,1,3
Austrobaileya,1,1
Austrobryonia,1,4
Austrobuxus,1,2
Austrochloris,1,1
Austrodolichos,1,1
Austromatthaea,1,1
Austromuellera,1,2
Austromyrtus,1,3
Austrosteenisia,0.75,4
Austrostipa,0.96875,64
Avicennia,0.5,2
Azanza,1,1
Azolla,0,2
Azorella,0.5,4
Babingtonia,1,10
Backhousia,1,13
Bacopa,0,2
Baeckea,0.9655172413793104,29
Baileyoxylon,1,1
Balanophora,0,2
Balanops,1,1
Balaustion,1,1
Balladonia,1,1
Ballantinia,1,1
Baloghia,0.6666666666666666,3
Baloskion,1,8
Bambusa,1,1
Banksia,0.9886363636363636,176
Barbarea,1,2
Barklya,1,1
Barongia,1,1
Barringtonia,0,4
Basedowia,1,1
Basilicum,0,1
Batis,0,1
Bauera,1,4
Bauhinia,0.6666666666666666,6
Baumea,1,1
Baxteria,1,1
Beaufortia,1,22
Bedfordia,1,3
Beilschmiedia,0.9090909090909091,11
Bellendena,1,1
Bellida,1,1
Belvisia,0,1
Benstonea,0.5,2
Benthamina,1,1
Bentleya,1,2
Berberidopsis,1,1
Bergia,0.9,10
Berrya,0.3333333333333333,3
Bertya,1,28
Berula,0,1
Beyeria,1,24
Billardiera,1,23
Biophytum,1,1
Bischofia,0,1
Blackallia,1,1
Blainvillea,0.6666666666666666,3
