ordre_affichage,groupe,famille,nom_taxon,Genre,formation,basionyme,id_taxon,valide,statut,id synonyme,synonyme,remarque
1,Lycopodes,Lycopodiaceae P. Beauv. ex Mirb.,"Brownseya serpentina (Kunze) Li Bing Zhang, L.D.Sheph., D.K.Chen, X.M.Zhou & H.He",Brownseya,M, ,37084,1,A,24394,Pseudolycopodiella serpentina (Kunze) Holub,In Chen et al. Taxon https://doi.org/10.1002/tax.12596
1,Lycopodes,Lycopodiaceae P. Beauv. ex Mirb.,"Brownseya serpentina (Kunze) Li Bing Zhang, L.D.Sheph., D.K.Chen, X.M.Zhou & H.He",Brownseya,M, ,37084,1,A,19968,Lycopodiella serpentina (Kunze) B.Øllg.,In Chen et al. Taxon https://doi.org/10.1002/tax.12596
1,Lycopodes,Lycopodiaceae P. Beauv. ex Mirb.,"Brownseya serpentina (Kunze) Li Bing Zhang, L.D.Sheph., D.K.Chen, X.M.Zhou & H.He",Brownseya,M, ,37084,1,A,2378,Lycopodium serpentinum Kunze,In Chen et al. Taxon https://doi.org/10.1002/tax.12596
1,Lycopodes,Lycopodiaceae P. Beauv. ex Mirb.,Huperzia serrata (Thunb. ex Murray) Rothm.,Huperzia,F,Lycopodium serratum Thunb. ex Murray,9662,1,A,2379,Lycopodium serratum Thunb. ex Murray,
1,Lycopodes,Lycopodiaceae P. Beauv. ex Mirb.,Huperzia serrata (Thunb. ex Murray) Rothm.,Huperzia,F,Lycopodium serratum Thunb. ex Murray,9662,1,A,9661,Urostachys serratus (Thunb. ex Murray) Herter,
1,Lycopodes,Lycopodiaceae P. Beauv. ex Mirb.,Lateristachys lateralis (R.Br.) Holub.,Lateristachys,M,Lycopodium laterale R.Br.,24393,1,A,19967,Lycopodiella lateralis (R.Br.) B.Øllg.,"The Pteridophyte Phylogeny Group (2016) Journal of Systematics and Evolution 54, 563-603."
1,Lycopodes,Lycopodiaceae P. Beauv. ex Mirb.,Lateristachys lateralis (R.Br.) Holub.,Lateristachys,M,Lycopodium laterale R.Br.,24393,1,A,2373,Lycopodium laterale R.Br.,"The Pteridophyte Phylogeny Group (2016) Journal of Systematics and Evolution 54, 563-603."
1,Lycopodes,Lycopodiaceae P. Beauv. ex Mirb.,Lycopodium clavatum L.,Lycopodium,F, ,2370,1,A,, ,
1,Lycopodes,Lycopodiaceae P. Beauv. ex Mirb.,Palhinhaea cernua (L.) Vasc. & Franco,Palhinhaea,N,Lycopodium cernuum L.,24392,1,A,9685,Lepidotis cernua (L.) P.Beauv.,"The Pteridophyte Phylogeny Group (2016) Journal of Systematics and Evolution 54, 563-603."
1,Lycopodes,Lycopodiaceae P. Beauv. ex Mirb.,Palhinhaea cernua (L.) Vasc. & Franco,Palhinhaea,N,Lycopodium cernuum L.,24392,1,A,9686,Lycopodiella cernua (L.) Pic.Serm.,"The Pteridophyte Phylogeny Group (2016) Journal of Systematics and Evolution 54, 563-603."
1,Lycopodes,Lycopodiaceae P. Beauv. ex Mirb.,Palhinhaea cernua (L.) Vasc. & Franco,Palhinhaea,N,Lycopodium cernuum L.,24392,1,A,2368,Lycopodium cernuum L.,"The Pteridophyte Phylogeny Group (2016) Journal of Systematics and Evolution 54, 563-603."
1,Lycopodes,Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus balansae (Herter) A.R.Field & Bostock,Phlegmariurus,,Lycopodium balansae Herter,24245,1,E,9680,Urostachys balansae Herter ex Ness.,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
1,Lycopodes,Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus balansae (Herter) A.R.Field & Bostock,Phlegmariurus,,Lycopodium balansae Herter,24245,1,E,9681,Lycopodium balansae var. pomperyanus Herter,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
1,Lycopodes,Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus balansae (Herter) A.R.Field & Bostock,Phlegmariurus,,Lycopodium balansae Herter,24245,1,E,9682,Lycopodium varium sensu ,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
1,Lycopodes,Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus balansae (Herter) A.R.Field & Bostock,Phlegmariurus,,Lycopodium balansae Herter,24245,1,E,22087,Huperzia balansae (Herter) Holub,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
1,Lycopodes,Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus balansae (Herter) A.R.Field & Bostock,Phlegmariurus,,Lycopodium balansae Herter,24245,1,E,2369,Lycopodium balansae Herter,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
