NameId	NameFull	NameFormatted	NamePart	NameScientific	IsCurrent	CurrentNameId	CurrentName	CurrentNamePart	YearOf	TaxonRank	Occurrence	Origin	Phyla	Class	Order	Family	Genus
E70C85B7-1EE1-431A-ACE9-FDA20127C046	Abrodictyum C.Presl	<i>Abrodictyum</i> C.Presl	Abrodictyum	<i>Abrodictyum</i> C.Presl, <i>Hymenophyllaceae</i> 20, t. 7 (1843)	false	C75BBC20-45FA-4A4E-B497-80D9BE2194BB	Trichomanes L.	Trichomanes	1843	genus			Tracheophyta	Polypodiopsida	Hymenophyllales	Hymenophyllaceae	Trichomanes
71B5AFA7-6CEE-4A4C-9FD9-CDF49E113EBC	Abrodictyum caudatum (Brack.) Ebihara & K.Iwats.	<i>Abrodictyum caudatum</i> (Brack.) Ebihara & K.Iwats.	Abrodictyum caudatum	<i>Abrodictyum caudatum</i> (Brack.) Ebihara & K.Iwats. in Ebihara et al., <i>Blumea</i> 51: 243 (2006)	false	F414EB78-5A01-4608-8D4C-3533870BA3C8	Trichomanes caudatum Brack.	Trichomanes caudatum	2006	species			Tracheophyta	Polypodiopsida	Hymenophyllales	Hymenophyllaceae	Trichomanes
8D91A569-8934-4C71-B333-54BD6A065433	Abrodictyum elongatum (A.Cunn.) Ebihara & K.Iwats.	<i>Abrodictyum elongatum</i> (A.Cunn.) Ebihara & K.Iwats.	Abrodictyum elongatum	<i>Abrodictyum elongatum</i> (A.Cunn.) Ebihara & K.Iwats. in Ebihara et al., <i>Blumea</i> 51: 244 (2006)	false	4346264E-97E7-4764-A2CF-1938DF96CAA9	Trichomanes elongatum A.Cunn.	Trichomanes elongatum	2006	species			Tracheophyta	Polypodiopsida	Hymenophyllales	Hymenophyllaceae	Trichomanes
2913749F-7BEE-45E5-88F3-E6CA431C65CB	Abrodictyum strictum (Menzies ex Hook. & Grev.) Ebihara & K.Iwats.	<i>Abrodictyum strictum</i> (Menzies ex Hook. & Grev.) Ebihara & K.Iwats.	Abrodictyum strictum	<i>Abrodictyum strictum</i> (Menzies ex Hook. & Grev.) Ebihara & K.Iwats. in Ebihara et al., <i>Blumea</i> 51: 243 (2006)	false	E468EE98-4364-4CE6-9E65-07FAA3DF3996	Trichomanes strictum Menzies ex Hook. & Grev.	Trichomanes strictum	2006	species			Tracheophyta	Polypodiopsida	Hymenophyllales	Hymenophyllaceae	Trichomanes
1BA219D3-B7C4-44B5-9E2E-BFD3E2CE291C	Acrophorus hispidus T.Moore	<i>Acrophorus hispidus</i> T.Moore	Acrophorus hispidus	<i>Acrophorus hispidus</i> T.Moore, <i>Proc. Linn. Soc. London</i> 2: 286 (1854)	false	39755D1D-C897-427B-B9F2-7C1CBE909F8A	Leptolepia novae-zelandiae (Colenso) Mett. ex Diels	Leptolepia novae-zelandiae	1854	species			Tracheophyta	Polypodiopsida	Polypodiales	Dennstaedtiaceae	Leptolepia
6E31207E-6273-4A10-9206-FE30B54AEAF5	Acrostichum barbarum L.	<i>Acrostichum barbarum</i> L.	Acrostichum barbarum	<i>Acrostichum barbarum</i> L., <i>Sp. Pl.</i> 1072 (1753)	false	11A20B11-4F0E-4BDE-BE54-2F9906C71AD7	Todea barbara (L.) T.Moore	Todea barbara	1753	species			Tracheophyta	Polypodiopsida	Osmundales	Osmundaceae	Todea
1FFF1FE0-25E1-4674-89BC-697B0E2D2A4D	Acrostichum bifidum (Willd.) Poir.	<i>Acrostichum bifidum</i> (Willd.) Poir.	Acrostichum bifidum	<i>Acrostichum bifidum</i> (Willd.) Poir., <i>Encyc. Suppl. 1,</i> 126 (1810)	false	3AD02BD6-2885-4AC0-92E3-D827CEB2BA1A	Schizaea bifida Willd.	Schizaea bifida	1810	species			Tracheophyta	Polypodiopsida	Schizaeales	Schizaeaceae	Schizaea
6E318B70-1754-4EEE-B97B-D014AEDC8443	Acrostichum bifurcatum Cav.	<i>Acrostichum bifurcatum</i> Cav.	Acrostichum bifurcatum	<i>Acrostichum bifurcatum</i> Cav., <i>Anales Hist. Nat.</i> 1: 105 (1799)	false	A15EF028-0C25-452B-8793-F35019737DAF	Platycerium bifurcatum (Cav.) C.Chr.	Platycerium bifurcatum	1799	species			Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Platycerium
7B592587-7ECE-4599-9BAB-C3B1ACA94118	Acrostichum dichotomum L.	<i>Acrostichum dichotomum</i> L.	Acrostichum dichotomum	<i>Acrostichum dichotomum</i> L., <i>Sp. Pl.</i> 1068 (1753)	false	E9A89311-F11A-4955-9329-18E1D406132B	Schizaea dichotoma (L.) Sm.	Schizaea dichotoma	1753	species			Tracheophyta	Polypodiopsida	Schizaeales	Schizaeaceae	Schizaea
562EC6B2-9913-4793-873D-AFAA780AE248	Acrostichum fistulosum (Labill.) Poir.	<i>Acrostichum fistulosum</i> (Labill.) Poir.	Acrostichum fistulosum	<i>Acrostichum fistulosum</i> (Labill.) Poir., <i>Encyc. Suppl. 1,</i> 125 (1810)	false	B6B1F64B-713A-4DC3-B64F-0B41D2E49368	Schizaea fistulosa Labill.	Schizaea fistulosa	1810	species			Tracheophyta	Polypodiopsida	Schizaeales	Schizaeaceae	Schizaea
