Family,Genus,Sp1,Author1,Rank1,Sp2,Author2,Rank2,Sp3,Author3,TaxStat,Accepted,Ecology
Asphodelaceae,Haworthia,maculata,(Poelln.) M.B.Bayer,var.,livida,(M.B.Bayer) M.B.Bayer,,,,Accepted,,Indigenous; Endemic
Menispermaceae,Antizoma,capensis,(L.f.) Diels,,,,,,,Synonym,Cissampelos capensis L.f.,Indigenous
Apocynaceae,Brachystelmaria,ramosissima,Schltr.,,,,,,,Synonym,Ceropegia ramosissima (Schltr.) Bruyns,Indigenous
Cactaceae,Rhipsalis,baccifera,(Sol.) Stearn,,,,,,,Inclusive,,Indigenous
Myrtaceae,Eucalyptus,conferruminata,D.J.Carr & S.G.M.Carr,,,,,,,Accepted,,Not indigenous; Cultivated; Naturalised; Invasive
Scrophulariaceae,Sutera,subspicata,(Benth.) Kuntze,,,,,,,Synonym,Chaenostoma subspicatum Benth.,Indigenous; Endemic
Colchicaceae,Bulbocodium,pudicum,(Sol. ex Ker Gawl.) Kuntze,,,,,,,Synonym,Romulea pudica (Sol. ex Ker Gawl.) Baker,Indigenous
Iridaceae,Sparaxis,fragrans,(Jacq.) Ker Gawl.,,,,,,,Accepted,,Indigenous; Endemic
Amaryllidaceae,Haemanthus,abyssinicus,Herb.,,,,,,,Synonym,Scadoxus multiflorus (Martyn) Raf.,
Aizoaceae,Hereroa,teretifolia,L.Bolus,,,,,,,Accepted,,Indigenous; Endemic
Fabaceae,Baphia,massaiensis,Taub.,,,,,,,Inclusive,,Indigenous
Asteraceae,Edmondia,fasciculata,(Andrews) Hilliard,,,,,,,Accepted,,Indigenous; Endemic
Sapindaceae,Dodonaea,viscosa,Jacq.,var.,angustifolia,(L.f.) Benth.,,,,Accepted,,Indigenous
Fabaceae,Chasmone,andrewsiana,E.Mey.,var.,umbellata,E.Mey.,,,,Synonym,Argyrolobium tomentosum (Andrews) Druce,Present
Jungermanniaceae,Jungermannia,sp.,,,,,,,,Genus level,,
