genus,plant_growth_form,dispersal_appendage,dispersal_syndrome,seed_dry_mass
Acanthocarpus,shrub,NA,NA,32.103750000000005
Acidonia,shrub,NA,NA,NA
Callitris,tree,wings,barochory,9.40363286516854
Adenanthera,tree,NA,zoochory,225.6084166625
Adenanthos,tree,NA,zoochory,13.49493925
Agastachys,tree,wings,NA,1.2444
Agathis,tree,wings,anemochory,43.94
Agrostocrinum,herb,NA,NA,2.5448666666666666
Ailanthus,tree,wing_or_plume,anemochory,66
Akania,tree,NA,NA,NA
Alangium,tree,NA,NA,NA
Alania,herb,NA,NA,0.0302
Albizia,tree,NA,NA,115.17181034482759
Alectryon,tree,fleshy_reward,zoochory,42.24566555798817
Allocasuarina,tree,wings,anemochory,2.2801060249042147
Allophylus,tree,NA,NA,52.2372
Alloxylon,tree,NA,NA,NA
Alpinia,herb,NA,endozoochory,15.090821175
Pleuranthodium,herb,NA,NA,NA
Ammannia,herb subshrub,NA,epizoochory,0.02904997222222222
Amomum,shrub,NA,NA,NA
Anemone,herb,hooks,zoochory,NA
Anigozanthos,herb,NA,NA,0.8292070588235294
Anthobolus,shrub,NA,NA,56.1384
Anthotium,herb,NA,NA,0.0724
Antiaris,tree,NA,NA,4787.7028985
Apatophyllum,shrub,NA,NA,NA
Aphananthe,tree,NA,NA,44.1078212
Apodytes,tree,NA,NA,145
Araucaria,tree,wings,zoochory,3875.8715716666666
Archidendron,tree,NA,zoochory,450
Archidendropsis,tree,none,NA,63.2324
Aristolochia,herb,NA,barochory,4.8088
Arnhemia,tree,NA,myrmecochory,15.3
Artabotrys,climber_woody,NA,NA,NA
Artocarpus,tree,NA,NA,5898
Arytera,tree,fleshy_reward,endozoochory,235.0825
Astelia,herb,none,endozoochory,1.679460606060606
Atalaya,tree,NA,anemochory,68.59001152
Atherosperma,tree,plumose,anemochory,1.5825999999999998
Athertonia,tree,NA,zoochory,1650
Athrotaxis,tree,NA,anemochory,1.6493846153846154
Atkinsonia,shrub,NA,NA,223.8152
Australina,herb,NA,zoochory,0.252
Austrobaileya,climber_woody,NA,NA,364.7954
Austromatthaea,tree,NA,NA,NA
Austromuellera,tree,wing_or_plume,NA,NA
Balanops,tree,NA,NA,NA
Banksia,tree,wings,barochory,36.56563807511916
Barklya,tree,NA,NA,NA
Bauhinia,tree,NA,barochory,245.97131538461537
Beilschmiedia,tree,NA,endozoochory,11234.0275
Bellendena,shrub,NA,NA,24.801266666666667
Blandfordia,herb,none,barochory,1.5163452705882352
Blepharocarya,tree,NA,NA,14.4312
Boehmeria,shrub tree,NA,NA,0.1044
Borya,tussock,NA,NA,0.218775
Brucea,tree,NA,zoochory,NA
Bruguiera,tree,NA,hydrochory,3276.6666666666665
Brunonia,herb shrub,plumose,undefined,2.140876923076923
Bubbia,tree,NA,NA,NA
Buchanania,tree,NA,zoochory,250.22666666666666
Bulbine,tussock,NA,undefined,1.86105740167364
Caesalpinia,shrub tree,none,hydrochory,1758.53692025
Mezoneuron,shrub,NA,barochory,NA
Caesia,tussock,elaiosome,zoochory,2.173063157894737
Campynema,herb,NA,NA,0.0867
Cananga,tree,NA,endozoochory,46.4
Canarium,tree,NA,zoochory,638.996
Cansjera,climber_woody shrub,NA,endozoochory,NA
Carallia,tree,NA,zoochory,54
Cardiopteris,climber_woody,wing_or_plume,anemochory,11
Cardwellia,tree,wing_or_plume,anemochory,587.364
Carnarvonia,tree,NA,NA,NA
Cassia,tree,NA,epizoochory,51.229927272727274
Elaeodendron,tree,NA,zoochory,506.373108975
Cassytha,tree,none,zoochory,29.83947115769231
Castanospora,tree,NA,endozoochory,2000
Casuarina,tree,wings,anemochory hydrochory,2.063972809667674
Catalepidia,tree,NA,NA,NA
Cathormion,tree,NA,NA,272.8577
Celastrus,shrub,aril,endozoochory,10.545544554455446
Celtis,tree,NA,NA,NA
Cenarrhenes,tree,none,zoochory,235.2971
Ceriops,tree,NA,hydrochory,2550
Chamaecrista,subshrub,NA,barochory,9.076480008333334
Chamaescilla,tussock,NA,undefined,0.846791
Choretrum,shrub tree,NA,endozoochory,30.91222857142857
Cinnamomum,tree,NA,zoochory,650
Cissampelos,climber_woody,NA,zoochory,10.5022
Citronella,tree,NA,zoochory,310
Clematis,subshrub,plumose,anemochory,4.6021312
Combretum,shrub,NA,NA,NA
Conospermum,tree,bristles,barochory,4.740592078723404
Conostylis,herb,NA,NA,0.7678918428571428
Coopernookia,subshrub,none,zoochory,3.1934333333333336
Cordyline,tree,NA,endozoochory,11.1492
Corynocarpus,tree,NA,NA,8250
Corynotheca,shrub,elaiosome,zoochory,6.54
Cossinia,tree,NA,NA,NA
Cheilocostus,herb shrub,NA,NA,NA
Crinum,herb,NA,hydrochory,NA
Crudia,tree,NA,NA,NA
Cryptocarya,tree,NA,zoochory,1807.3115454545455
Cupaniopsis,tree,fleshy_reward,zoochory,289.06631441111114
Curculigo,herb tussock,NA,barochory,NA
Curcuma,herb,NA,NA,NA
Uvaria,shrub,NA,endozoochory,125.90466666666667
Cycas,tree,sarcotesta,zoochory,10315.9
Cynometra,tree,NA,hydrochory,6720
Dampiera,subshrub,wings,zoochory,3.3210636363636366
Dansiea,tree,NA,NA,NA
Daphnandra,tree,plumose,NA,6.879993075
Darlingia,tree,wing_or_plume,anemochory,217
Dasypogon,shrub,NA,NA,43.12028
Dendrocnide,tree,NA,endozoochory,0.5001401954954955
Dendrophthoe,tree,NA,endozoochory,48.45
Denhamia,tree,fleshy_reward,zoochory,21.57168888888889
Desmos,climber_woody shrub,aril,NA,NA
Dianella,tussock,none,zoochory,5.676807665957447
Diaspasis,herb shrub,NA,NA,NA
Dichopogon,herb,NA,barochory,0.46645899999999996
Arthropodium,tussock,NA,undefined,1.5064223555555556
Dichrostachys,shrub tree,NA,NA,26.1513
Dictyoneura,tree,NA,NA,NA
Dimocarpus,tree,aril,NA,NA
Dioscorea,herb,wings,anemochory,6.5088
Diplarrena,herb,none,barochory,2.4179749999999998
Diploglottis,tree,fleshy_reward,endozoochory,1890.0522166666667
Diplopeltis,shrub,NA,NA,6.78816
Diselma,tree,NA,anemochory,1.2511999999999999
Dodonaea,tree,wings,zoochory,5.551203990116279
Doryanthes,shrub,NA,barochory,39.94997142857143
Doryphora,tree,plumose,anemochory,9.52945
Dryadodaphne,tree,NA,NA,NA
Drymophila,herb,none,endozoochory,4.1172
Echinostephia,climber_herbaceous,NA,endozoochory,NA
Eidothea,tree,NA,zoochory,11600
Elaeagnus,shrub tree,NA,endozoochory,150
Elatostema,herb subshrub,NA,NA,NA
Elattostachys,tree,fleshy_reward,NA,82
Endiandra,tree,NA,zoochory,9834.583333333334
