genus,prop_endemic,species_number,nz,nc,ng,wcvp,indo2,prop_aus,n,ala,rowsums,current_knowledge
Abildgaardia,1,2,FALSE,FALSE,TRUE,TRUE,TRUE,0.90633608815427,726,TRUE,4,non-endemic
Abroma,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,0.6473988439306358,173,TRUE,3,non-endemic
Abrophyllum,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,827,FALSE,0,endemic
Acanthocarpus,1,7,FALSE,FALSE,FALSE,FALSE,FALSE,1,932,FALSE,0,endemic
Acanthocladium,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.9876543209876543,81,TRUE,1,unclear
Aceratium,1,5,FALSE,FALSE,FALSE,TRUE,TRUE,0.7350157728706624,634,TRUE,3,non-endemic
Achnophora,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,57,FALSE,0,endemic
Acianthus,1,11,TRUE,TRUE,FALSE,TRUE,FALSE,0.9730627637604382,11137,TRUE,4,non-endemic
Acidonia,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,112,FALSE,0,endemic
Aciphylla,1,2,TRUE,FALSE,FALSE,TRUE,FALSE,0.284500693481276,5768,TRUE,3,non-endemic
Ackama,1,2,TRUE,FALSE,FALSE,TRUE,FALSE,0.9332611832611832,2772,TRUE,3,non-endemic
Acomis,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,1,235,FALSE,0,endemic
Acradenia,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,0.9985250737463127,678,FALSE,0,endemic
Acriopsis,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,0.46835443037974683,79,TRUE,3,non-endemic
Acrophyllum,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.9940119760479041,167,FALSE,0,endemic
Acrothamnus,1,4,TRUE,FALSE,FALSE,TRUE,TRUE,0.9390100176782558,6788,TRUE,4,non-endemic
Acrotriche,1,18,FALSE,FALSE,FALSE,FALSE,FALSE,1,30315,FALSE,0,endemic
Actinobole,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,1,5177,FALSE,0,endemic
Actinodium,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,303,FALSE,0,endemic
Actinoschoenus,1,5,FALSE,TRUE,FALSE,TRUE,TRUE,0.9835390946502057,729,TRUE,4,non-endemic
Actinotus,1,19,TRUE,FALSE,FALSE,TRUE,FALSE,0.9923409109427198,12273,FALSE,2,non-endemic
Actites,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,1413,FALSE,0,endemic
Acunniana,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,41,FALSE,0,endemic
Adansonia,1,1,FALSE,FALSE,TRUE,TRUE,TRUE,0.9385045422781272,1431,TRUE,4,non-endemic
Adelphacme,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,26,FALSE,0,endemic
Adenanthos,1,31,FALSE,FALSE,FALSE,FALSE,FALSE,1,6644,FALSE,0,endemic
Adenochilus,1,1,TRUE,FALSE,FALSE,TRUE,FALSE,0.6653543307086615,254,TRUE,3,non-endemic
Adriana,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,1,2982,FALSE,0,endemic
Aeginetia,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,0.4,5,TRUE,3,non-endemic
Aenictophyton,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,1,121,FALSE,0,endemic
Agastachys,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,643,FALSE,0,endemic
Agiortia,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,461,FALSE,0,endemic
Agonis,1,4,TRUE,FALSE,TRUE,FALSE,FALSE,0.9724832214765101,1490,TRUE,3,non-endemic
Agrostocrinum,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,1,723,FALSE,0,endemic
Ajuga,1,2,FALSE,FALSE,TRUE,TRUE,TRUE,0.9824530308401276,11284,TRUE,4,non-endemic
Akania,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,659,FALSE,0,endemic
Alania,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,187,FALSE,0,endemic
Aldrovanda,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,0.7964601769911505,113,TRUE,2,non-endemic
Alexfloydia,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,107,FALSE,0,endemic
Alexgeorgea,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,486,FALSE,0,endemic
Allittia,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,1,1237,FALSE,0,endemic
Allocasuarina,1,61,TRUE,FALSE,FALSE,TRUE,FALSE,0.9991384980222509,107951,FALSE,2,non-endemic
Allopterigeron,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,138,FALSE,0,endemic
Allosyncarpia,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,403,FALSE,0,endemic
Almaleea,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,1,2507,FALSE,0,endemic
Althaea,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,0.05454545454545454,55,TRUE,3,non-endemic
Aluta,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,1,1298,FALSE,0,endemic
Alyogyne,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,0.9883070665988816,1967,TRUE,1,unclear
Ammobium,1,2,FALSE,FALSE,FALSE,TRUE,FALSE,0.997195737521032,1783,FALSE,1,unclear
Amorphospermum,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,1,263,FALSE,1,unclear
Amperea,1,8,FALSE,FALSE,FALSE,FALSE,FALSE,1,13546,FALSE,0,endemic
Amphibolis,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,1,2817,FALSE,0,endemic
Amphipogon,1,9,FALSE,FALSE,FALSE,FALSE,FALSE,1,5566,FALSE,0,endemic
Anacampseros,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,0.9814814814814815,216,TRUE,3,non-endemic
Anarthria,1,6,FALSE,FALSE,FALSE,FALSE,FALSE,1,2021,FALSE,0,endemic
Ancistrachne,1,2,FALSE,TRUE,FALSE,TRUE,TRUE,0.9918864097363083,986,FALSE,3,non-endemic
Andersonia,1,29,FALSE,FALSE,FALSE,FALSE,FALSE,1,3559,FALSE,0,endemic
Androcalva,1,33,FALSE,FALSE,FALSE,FALSE,FALSE,1,3903,FALSE,0,endemic
Androstoma,1,1,TRUE,FALSE,FALSE,TRUE,FALSE,0.29256594724220625,417,TRUE,3,non-endemic
Anemocarpa,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,862,FALSE,0,endemic
Anemone,1,1,TRUE,FALSE,TRUE,TRUE,TRUE,0.21421800947867298,1055,TRUE,5,non-endemic
Angianthus,1,21,FALSE,FALSE,FALSE,FALSE,FALSE,1,3623,FALSE,0,endemic
Angophora,1,10,FALSE,FALSE,FALSE,FALSE,FALSE,0.9909866698643004,50037,FALSE,0,endemic
Anigozanthos,1,11,FALSE,FALSE,TRUE,TRUE,FALSE,0.9952689243027888,4016,FALSE,2,non-endemic
Anisopogon,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,1,4641,FALSE,1,unclear
Anisotome,1,1,TRUE,FALSE,FALSE,TRUE,FALSE,0.0935700575815739,2084,TRUE,3,non-endemic
Anodopetalum,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,1901,FALSE,0,endemic
Anoectochilus,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,0.7272727272727273,44,TRUE,4,non-endemic
Anopterus,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,0.9979313198179561,2417,FALSE,0,endemic
Anthobolus,1,3,FALSE,FALSE,FALSE,TRUE,TRUE,0.9965075669383003,859,FALSE,2,non-endemic
Anthocercis,1,10,FALSE,FALSE,FALSE,FALSE,FALSE,1,1725,FALSE,0,endemic
Anthotium,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,1,249,FALSE,0,endemic
Anthotroche,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,316,FALSE,0,endemic
Anticoryne,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,97,FALSE,0,endemic
Aotus,1,17,FALSE,FALSE,FALSE,FALSE,FALSE,1,11558,FALSE,0,endemic
Apalochlamys,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,1,480,FALSE,1,unclear
Apatophyllum,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,1,205,FALSE,0,endemic
Aphanes,1,2,TRUE,FALSE,FALSE,TRUE,FALSE,0.9548355424644085,2037,TRUE,3,non-endemic
Aphanopetalum,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,0.9923250564334086,2215,FALSE,0,endemic
Aphelia,1,6,FALSE,FALSE,FALSE,FALSE,FALSE,1,2271,FALSE,0,endemic
Aphyllorchis,1,2,FALSE,FALSE,FALSE,TRUE,TRUE,0.8833333333333333,60,TRUE,3,non-endemic
Apodasmia,1,2,TRUE,FALSE,FALSE,TRUE,FALSE,0.8144116122343183,1929,TRUE,3,non-endemic
Apodytes,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,0.9626168224299065,214,TRUE,5,non-endemic
Aponogeton,1,11,FALSE,FALSE,TRUE,TRUE,TRUE,0.9155778894472362,995,TRUE,4,non-endemic
Apowollastonia,1,7,FALSE,FALSE,FALSE,TRUE,FALSE,0.9887250650477016,1153,TRUE,2,non-endemic
Appendicula,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,0.4262295081967213,122,TRUE,4,non-endemic
Arabidella,1,7,FALSE,FALSE,FALSE,FALSE,FALSE,1,2183,FALSE,0,endemic
Archeria,1,5,TRUE,FALSE,FALSE,TRUE,FALSE,0.7202486678507993,1126,TRUE,3,non-endemic
Archidendropsis,1,3,FALSE,TRUE,FALSE,TRUE,TRUE,0.8936781609195402,348,TRUE,4,non-endemic
Archirhodomyrtus,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,0.9925965097831835,1891,FALSE,3,non-endemic
