genus,prop_endemic,species_number,new_caledonia
Abildgaardia,1,2,FALSE
Abroma,1,1,FALSE
Abrophyllum,1,1,FALSE
Acanthocarpus,1,7,FALSE
Acanthocladium,1,1,FALSE
Aceratium,1,5,FALSE
Achnophora,1,1,FALSE
Acianthus,1,11,TRUE
Acidonia,1,1,FALSE
Aciphylla,1,2,FALSE
Ackama,1,2,FALSE
Acomis,1,4,FALSE
Acradenia,1,2,FALSE
Acriopsis,1,1,FALSE
Acrophyllum,1,1,FALSE
Acrothamnus,1,4,FALSE
Acrotriche,1,18,FALSE
Actinobole,1,4,FALSE
Actinodium,1,1,FALSE
Actinoschoenus,1,5,TRUE
Actinotus,1,19,FALSE
Actites,1,1,FALSE
Acunniana,1,1,FALSE
Adansonia,1,1,FALSE
Adelphacme,1,1,FALSE
Adenanthos,1,31,FALSE
Adenochilus,1,1,FALSE
Adriana,1,2,FALSE
Aeginetia,1,1,FALSE
Aenictophyton,1,2,FALSE
Agastachys,1,1,FALSE
Agiortia,1,3,FALSE
Agonis,1,4,FALSE
Agrostocrinum,1,2,FALSE
Ajuga,1,2,FALSE
Akania,1,1,FALSE
Alania,1,1,FALSE
Aldrovanda,1,1,FALSE
Alexfloydia,1,1,FALSE
Alexgeorgea,1,3,FALSE
Allittia,1,2,FALSE
Allocasuarina,1,61,FALSE
Allopterigeron,1,1,FALSE
Allosyncarpia,1,1,FALSE
Almaleea,1,5,FALSE
Althaea,1,1,FALSE
Aluta,1,5,FALSE
Alyogyne,1,4,FALSE
Ammobium,1,2,FALSE
Amorphospermum,1,1,FALSE
Amperea,1,8,FALSE
Amphibolis,1,2,FALSE
Amphipogon,1,9,FALSE
Anacampseros,1,1,FALSE
Anarthria,1,6,FALSE
Ancistrachne,1,2,TRUE
Andersonia,1,29,FALSE
Androcalva,1,33,FALSE
Androstoma,1,1,FALSE
Anemocarpa,1,3,FALSE
Anemone,1,1,FALSE
Angianthus,1,21,FALSE
Angophora,1,10,FALSE
Anigozanthos,1,11,FALSE
Anisopogon,1,1,FALSE
Anisotome,1,1,FALSE
Anodopetalum,1,1,FALSE
Anoectochilus,1,1,TRUE
Anopterus,1,2,FALSE
Anthobolus,1,3,FALSE
Anthocercis,1,10,FALSE
Anthotium,1,4,FALSE
Anthotroche,1,3,FALSE
Anticoryne,1,3,FALSE
Aotus,1,17,FALSE
Apalochlamys,1,1,FALSE
Apatophyllum,1,5,FALSE
Aphanes,1,2,FALSE
Aphanopetalum,1,2,FALSE
Aphelia,1,6,FALSE
Aphyllorchis,1,2,FALSE
Apodasmia,1,2,FALSE
Apodytes,1,1,TRUE
Aponogeton,1,11,FALSE
Apowollastonia,1,7,FALSE
Appendicula,1,1,TRUE
Arabidella,1,7,FALSE
Archeria,1,5,FALSE
Archidendropsis,1,3,TRUE
Archirhodomyrtus,1,1,TRUE
Archontophoenix,1,6,FALSE
Areocleome,1,1,FALSE
Argentipallium,1,5,FALSE
Argophyllum,1,11,TRUE
Argyroglottis,1,1,FALSE
Aristotelia,1,2,FALSE
Arnhemia,1,1,FALSE
Arnocrinum,1,3,FALSE
Arrhenechthites,1,1,FALSE
Artabotrys,1,1,FALSE
Arthragrostis,1,4,FALSE
Arthropodium,1,7,TRUE
Arthrostylis,1,1,FALSE
Asperula,1,21,FALSE
Astartea,1,22,FALSE
Asteridea,1,9,FALSE
Asterolasia,1,17,FALSE
Asterotrichion,1,1,FALSE
Astonia,1,1,FALSE
Astrebla,1,4,FALSE
Astroloma,1,21,FALSE
Astrotricha,1,19,FALSE
Astus,1,4,FALSE
Atherosperma,1,1,FALSE
Athertonia,1,1,FALSE
Athrotaxis,1,2,FALSE
Atkinsonia,1,1,FALSE
Auranticarpa,1,6,FALSE
Australopyrum,1,3,FALSE
Austrobaileya,1,1,FALSE
Austrobryonia,1,4,FALSE
Austrobuxus,1,2,TRUE
Austrochloris,1,1,FALSE
Austrodolichos,1,1,FALSE
Austromatthaea,1,1,FALSE
Austromuellera,1,2,FALSE
Austromyrtus,1,3,FALSE
Azanza,1,1,FALSE
Babingtonia,1,10,FALSE
Backhousia,1,13,FALSE
Baileyoxylon,1,1,FALSE
Balanops,1,1,TRUE
Balaustion,1,1,FALSE
Balladonia,1,1,FALSE
Ballantinia,1,1,FALSE
Baloskion,1,8,FALSE
Bambusa,1,1,FALSE
Barbarea,1,2,FALSE
Barklya,1,1,FALSE
Barongia,1,1,FALSE
Basedowia,1,1,FALSE
Bauera,1,4,FALSE
Baumea,1,1,FALSE
Baxteria,1,1,FALSE
Beaufortia,1,22,FALSE
Bedfordia,1,3,FALSE
Bellendena,1,1,FALSE
Bellida,1,1,FALSE
Benthamina,1,1,FALSE
Bentleya,1,2,FALSE
Berberidopsis,1,1,FALSE
Bertya,1,28,FALSE
Beyeria,1,24,FALSE
Billardiera,1,23,FALSE
Biophytum,1,1,FALSE
Blackallia,1,1,FALSE
Blancoa,1,1,FALSE
Blandfordia,1,4,FALSE
Bleasdalea,1,1,FALSE
Blennodia,1,2,FALSE
Blennospora,1,3,FALSE
Blepharocarya,1,2,FALSE
Bobea,1,1,FALSE
Boea,1,2,FALSE
Bonamia,1,16,FALSE
Boronia,1,152,TRUE
Borya,1,12,FALSE
Bosistoa,1,4,FALSE
Bossiaea,1,79,FALSE
Bouchardatia,1,1,FALSE
Bowenia,1,2,FALSE
Brachyloma,1,16,FALSE
Brachypeza,1,1,FALSE
Brachyscias,1,1,FALSE
Brachysola,1,2,FALSE
Brackenridgea,1,1,FALSE
Brassiantha,1,1,FALSE
Brombya,1,2,FALSE
Brunonia,1,1,FALSE
Bubbia,1,4,FALSE
Buckinghamia,1,2,FALSE
Bulbine,1,7,FALSE
Burchardia,1,6,FALSE
Burnettia,1,1,FALSE
Bursaria,1,8,FALSE
Cadellia,1,1,FALSE
Cadetia,1,6,FALSE
Calamphoreus,1,1,FALSE
Calandrinia,1,56,FALSE
Calectasia,1,15,FALSE
Callicoma,1,1,FALSE
Callipteris,1,1,FALSE
Callistachys,1,1,FALSE
Calocephalus,1,12,FALSE
Calomeria,1,1,FALSE
Calorophus,1,2,FALSE
Calostemma,1,3,FALSE
Calothamnus,1,41,FALSE
Calotis,1,26,FALSE
Calycopeplus,1,5,FALSE
Calyptochloa,1,3,FALSE
Calytrix,1,86,FALSE
Camonea,1,1,FALSE
Campynema,1,1,FALSE
Cardwellia,1,1,FALSE
Carinavalva,1,1,FALSE
Carmichaelia,1,1,FALSE
Carnarvonia,1,1,FALSE
Carpentaria,1,1,FALSE
Carronia,1,3,FALSE
Caryota,1,1,FALSE
Cassia,1,4,TRUE
Cassinia,1,46,FALSE
Castanospora,1,1,FALSE
Catacolea,1,1,FALSE
Catalepidia,1,1,FALSE
Caustis,1,7,FALSE
Celmisia,1,8,FALSE
Cenarrhenes,1,1,FALSE
Centratherum,1,1,FALSE
Centropappus,1,1,FALSE
Cephalaralia,1,1,FALSE
Cephalipterum,1,1,FALSE
Cephalosorus,1,1,FALSE
Cephalotus,1,1,FALSE
Ceratogyne,1,1,FALSE
Chaetanthus,1,3,FALSE
Chamaeraphis,1,1,FALSE
Chamaescilla,1,5,FALSE
Chamaexeros,1,4,FALSE
Chamelaucium,1,11,FALSE
Cheilocostus,1,1,FALSE
Cheiranthera,1,10,FALSE
Chenopodium,1,9,FALSE
Cheyniana,1,2,FALSE
Chiloschista,1,1,FALSE
Chingia,1,1,FALSE
Chionochloa,1,2,FALSE
Chlaenosciadium,1,1,FALSE
Chloanthes,1,4,FALSE
Chondropyxis,1,1,FALSE
Chordifex,1,20,FALSE
Choretrum,1,7,FALSE
Chorilaena,1,1,FALSE
Chorizema,1,25,FALSE
Chrysitrix,1,1,FALSE
Chrysocephalum,1,9,FALSE
Chthonocephalus,1,7,FALSE
Citronella,1,2,TRUE
Citrus,1,6,TRUE
Clausospicula,1,1,FALSE
Clematicissus,1,2,FALSE
Clitoria,1,1,FALSE
Coatesia,1,1,FALSE
Codariocalyx,1,1,FALSE
