"","genus","prop_endemic","species_number","nz","nc","ng","wcvp","indo2","prop_aus","n","ala","rowsums","endemism_status"
"1","Abildgaardia",1,2,FALSE,FALSE,TRUE,TRUE,TRUE,0.90633608815427,726,TRUE,4,"non-endemic"
"2","Abroma",1,1,FALSE,FALSE,FALSE,TRUE,TRUE,0.647398843930636,173,TRUE,3,"non-endemic"
"3","Abrophyllum",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,827,FALSE,0,"endemic"
"4","Acanthocarpus",1,7,FALSE,FALSE,FALSE,FALSE,FALSE,1,932,FALSE,0,"endemic"
"5","Acanthocladium",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.987654320987654,81,TRUE,1,"endemic"
"6","Aceratium",1,5,FALSE,FALSE,FALSE,TRUE,TRUE,0.735015772870662,634,TRUE,3,"non-endemic"
"7","Achnophora",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,57,FALSE,0,"endemic"
"8","Acianthus",1,11,TRUE,TRUE,FALSE,TRUE,FALSE,0.973062763760438,11137,TRUE,4,"non-endemic"
"9","Acidonia",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,112,FALSE,0,"endemic"
"10","Aciphylla",1,2,TRUE,FALSE,FALSE,TRUE,FALSE,0.284500693481276,5768,TRUE,3,"non-endemic"
"11","Ackama",1,2,TRUE,FALSE,FALSE,TRUE,FALSE,0.933261183261183,2772,TRUE,3,"non-endemic"
"12","Acomis",1,4,FALSE,FALSE,FALSE,FALSE,FALSE,1,235,FALSE,0,"endemic"
"13","Acradenia",1,2,FALSE,FALSE,FALSE,FALSE,FALSE,0.998525073746313,678,FALSE,0,"endemic"
"14","Acriopsis",1,1,FALSE,FALSE,FALSE,TRUE,TRUE,0.468354430379747,79,TRUE,3,"non-endemic"
"15","Acrophyllum",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.994011976047904,167,FALSE,0,"endemic"
"16","Acrothamnus",1,4,TRUE,FALSE,FALSE,TRUE,TRUE,0.939010017678256,6788,TRUE,4,"non-endemic"
"17","Acrotriche",1,18,FALSE,FALSE,FALSE,FALSE,FALSE,1,30315,FALSE,0,"endemic"
"18","Actinobole",1,4,FALSE,FALSE,FALSE,FALSE,FALSE,1,5177,FALSE,0,"endemic"
"19","Actinodium",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,303,FALSE,0,"endemic"
"20","Actinoschoenus",1,5,FALSE,TRUE,FALSE,TRUE,TRUE,0.983539094650206,729,TRUE,4,"non-endemic"
"21","Actinotus",1,19,TRUE,FALSE,FALSE,TRUE,FALSE,0.99234091094272,12273,FALSE,2,"non-endemic"
"22","Actites",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,1413,FALSE,0,"endemic"
"23","Acunniana",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,41,FALSE,0,"endemic"
"24","Adansonia",1,1,FALSE,FALSE,TRUE,TRUE,TRUE,0.938504542278127,1431,TRUE,4,"non-endemic"
"25","Adelphacme",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,26,FALSE,0,"endemic"
"26","Adenanthos",1,31,FALSE,FALSE,FALSE,FALSE,FALSE,1,6644,FALSE,0,"endemic"
"27","Adenochilus",1,1,TRUE,FALSE,FALSE,TRUE,FALSE,0.665354330708661,254,TRUE,3,"non-endemic"
"28","Adriana",1,2,FALSE,FALSE,FALSE,FALSE,FALSE,1,2982,FALSE,0,"endemic"
"29","Aeginetia",1,1,FALSE,FALSE,FALSE,TRUE,TRUE,0.4,5,TRUE,3,"non-endemic"
"30","Aenictophyton",1,2,FALSE,FALSE,FALSE,FALSE,FALSE,1,121,FALSE,0,"endemic"
"31","Agastachys",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,643,FALSE,0,"endemic"
"32","Agiortia",1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,461,FALSE,0,"endemic"
"33","Agonis",1,4,TRUE,FALSE,TRUE,FALSE,FALSE,0.97248322147651,1490,TRUE,3,"non-endemic"
"34","Agrostocrinum",1,2,FALSE,FALSE,FALSE,FALSE,FALSE,1,723,FALSE,0,"endemic"
"35","Ajuga",1,2,FALSE,FALSE,TRUE,TRUE,TRUE,0.982453030840128,11284,TRUE,4,"non-endemic"
"36","Akania",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,659,FALSE,0,"endemic"
"37","Alania",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,187,FALSE,0,"endemic"
"38","Aldrovanda",1,1,FALSE,FALSE,FALSE,TRUE,FALSE,0.79646017699115,113,TRUE,2,"non-endemic"
"39","Alexfloydia",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,107,FALSE,0,"endemic"
"40","Alexgeorgea",1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,486,FALSE,0,"endemic"
"41","Allittia",1,2,FALSE,FALSE,FALSE,FALSE,FALSE,1,1237,FALSE,0,"endemic"
"42","Allocasuarina",1,61,TRUE,FALSE,FALSE,TRUE,FALSE,0.999138498022251,107951,FALSE,2,"non-endemic"
"43","Allopterigeron",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,138,FALSE,0,"endemic"
"44","Allosyncarpia",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,403,FALSE,0,"endemic"
"45","Almaleea",1,5,FALSE,FALSE,FALSE,FALSE,FALSE,1,2507,FALSE,0,"endemic"
"46","Althaea",1,1,FALSE,FALSE,TRUE,TRUE,FALSE,0.0545454545454545,55,TRUE,3,"non-endemic"
"47","Aluta",1,5,FALSE,FALSE,FALSE,FALSE,FALSE,1,1298,FALSE,0,"endemic"
"48","Alyogyne",1,4,FALSE,FALSE,FALSE,FALSE,FALSE,0.988307066598882,1967,TRUE,1,"non-endemic"
"49","Ammobium",1,2,FALSE,FALSE,FALSE,TRUE,FALSE,0.997195737521032,1783,FALSE,1,"endemic"
"50","Amorphospermum",1,1,FALSE,FALSE,FALSE,TRUE,FALSE,1,263,FALSE,1,"endemic"
"51","Amperea",1,8,FALSE,FALSE,FALSE,FALSE,FALSE,1,13546,FALSE,0,"endemic"
"52","Amphibolis",1,2,FALSE,FALSE,FALSE,FALSE,FALSE,1,2817,FALSE,0,"endemic"
"53","Amphipogon",1,9,FALSE,FALSE,FALSE,FALSE,FALSE,1,5566,FALSE,0,"endemic"
"54","Anacampseros",1,1,FALSE,FALSE,TRUE,TRUE,FALSE,0.981481481481482,216,TRUE,3,"non-endemic"
"55","Anarthria",1,6,FALSE,FALSE,FALSE,FALSE,FALSE,1,2021,FALSE,0,"endemic"
"56","Ancistrachne",1,2,FALSE,TRUE,FALSE,TRUE,TRUE,0.991886409736308,986,FALSE,3,"non-endemic"
"57","Andersonia",1,29,FALSE,FALSE,FALSE,FALSE,FALSE,1,3559,FALSE,0,"endemic"
"58","Androcalva",1,33,FALSE,FALSE,FALSE,FALSE,FALSE,1,3903,FALSE,0,"endemic"
"59","Androstoma",1,1,TRUE,FALSE,FALSE,TRUE,FALSE,0.292565947242206,417,TRUE,3,"non-endemic"
"60","Anemocarpa",1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,862,FALSE,0,"endemic"
"61","Anemone",1,1,TRUE,FALSE,TRUE,TRUE,TRUE,0.214218009478673,1055,TRUE,5,"non-endemic"
"62","Angianthus",1,21,FALSE,FALSE,FALSE,FALSE,FALSE,1,3623,FALSE,0,"endemic"
"63","Angophora",1,10,FALSE,FALSE,FALSE,FALSE,FALSE,0.9909866698643,50037,FALSE,0,"endemic"
"64","Anigozanthos",1,11,FALSE,FALSE,TRUE,TRUE,FALSE,0.995268924302789,4016,FALSE,2,"non-endemic"
"65","Anisopogon",1,1,FALSE,FALSE,FALSE,TRUE,FALSE,1,4641,FALSE,1,"endemic"
"66","Anisotome",1,1,TRUE,FALSE,FALSE,TRUE,FALSE,0.0935700575815739,2084,TRUE,3,"non-endemic"
"67","Anodopetalum",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,1901,FALSE,0,"endemic"
"68","Anoectochilus",1,1,FALSE,TRUE,FALSE,TRUE,TRUE,0.727272727272727,44,TRUE,4,"non-endemic"
"69","Anopterus",1,2,FALSE,FALSE,FALSE,FALSE,FALSE,0.997931319817956,2417,FALSE,0,"endemic"
"70","Anthobolus",1,3,FALSE,FALSE,FALSE,TRUE,TRUE,0.9965075669383,859,FALSE,2,"non-endemic"
"71","Anthocercis",1,10,FALSE,FALSE,FALSE,FALSE,FALSE,1,1725,FALSE,0,"endemic"
"72","Anthotium",1,4,FALSE,FALSE,FALSE,FALSE,FALSE,1,249,FALSE,0,"endemic"
"73","Anthotroche",1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,316,FALSE,0,"endemic"
"74","Anticoryne",1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,97,FALSE,0,"endemic"
"75","Aotus",1,17,FALSE,FALSE,FALSE,FALSE,FALSE,1,11558,FALSE,0,"endemic"
"76","Apalochlamys",1,1,FALSE,FALSE,FALSE,FALSE,TRUE,1,480,FALSE,1,"endemic"
"77","Apatophyllum",1,5,FALSE,FALSE,FALSE,FALSE,FALSE,1,205,FALSE,0,"endemic"
"78","Aphanes",1,2,TRUE,FALSE,FALSE,TRUE,FALSE,0.954835542464408,2037,TRUE,3,"non-endemic"
"79","Aphanopetalum",1,2,FALSE,FALSE,FALSE,FALSE,FALSE,0.992325056433409,2215,FALSE,0,"endemic"
"80","Aphelia",1,6,FALSE,FALSE,FALSE,FALSE,FALSE,1,2271,FALSE,0,"endemic"
"81","Aphyllorchis",1,2,FALSE,FALSE,FALSE,TRUE,TRUE,0.883333333333333,60,TRUE,3,"non-endemic"
"82","Apodasmia",1,2,TRUE,FALSE,FALSE,TRUE,FALSE,0.814411612234318,1929,TRUE,3,"non-endemic"
"83","Apodytes",1,1,FALSE,TRUE,TRUE,TRUE,TRUE,0.962616822429906,214,TRUE,5,"non-endemic"
"84","Aponogeton",1,11,FALSE,FALSE,TRUE,TRUE,TRUE,0.915577889447236,995,TRUE,4,"non-endemic"
"85","Apowollastonia",1,7,FALSE,FALSE,FALSE,TRUE,FALSE,0.988725065047702,1153,TRUE,2,"non-endemic"
"86","Appendicula",1,1,FALSE,TRUE,FALSE,TRUE,TRUE,0.426229508196721,122,TRUE,4,"non-endemic"
"87","Arabidella",1,7,FALSE,FALSE,FALSE,FALSE,FALSE,1,2183,FALSE,0,"endemic"
"88","Archeria",1,5,TRUE,FALSE,FALSE,TRUE,FALSE,0.720248667850799,1126,TRUE,3,"non-endemic"
"89","Archidendropsis",1,3,FALSE,TRUE,FALSE,TRUE,TRUE,0.89367816091954,348,TRUE,4,"non-endemic"
"90","Archirhodomyrtus",1,1,FALSE,TRUE,FALSE,TRUE,TRUE,0.992596509783184,1891,FALSE,3,"non-endemic"
"91","Archontophoenix",1,6,FALSE,FALSE,FALSE,TRUE,FALSE,0.991408934707904,5820,FALSE,1,"endemic"
"92","Areocleome",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,116,FALSE,0,"endemic"
"93","Argentipallium",1,5,FALSE,FALSE,FALSE,FALSE,FALSE,1,3472,FALSE,0,"endemic"
"94","Argophyllum",1,11,FALSE,TRUE,FALSE,TRUE,FALSE,0.956072351421189,774,TRUE,3,"non-endemic"
"95","Argyroglottis",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,68,FALSE,0,"endemic"
"96","Aristotelia",1,2,TRUE,FALSE,FALSE,TRUE,TRUE,0.793729372937294,2424,TRUE,4,"non-endemic"
"97","Arnhemia",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,208,FALSE,0,"endemic"
