"","genus","prop_endemic","species_number","nz","nc","ng","wcvp","indo2","prop_aus","n","ala","rowsums","current_knowledge","reason","Least Concern","Critically Endangered","Data Deficient","Endangered","Near Threatened","Vulnerable","Lower Risk/near threatened","Extinct","plant_growth_form","dispersal_appendage","seed_dry_mass","dispersal_syndrome"
"1","Abildgaardia","1",2,"FALSE","FALSE","TRUE","TRUE","TRUE","0.90633608815427","726","TRUE","4","non-endemic",NA,0,0,0,0,0,0,0,0,"c(""tussock"", ""tussock"", ""graminoid herb"", ""graminoid herb"", ""graminoid herb"", ""graminoid"", ""graminoid"")","c(""none"", ""none"")","NULL","NULL"
"2","Abroma","1",1,"FALSE","FALSE","FALSE","TRUE","TRUE","0.647398843930636","173","TRUE","3","non-endemic",NA,0,0,0,0,0,0,0,0,"c(""tree"", ""shrub"", ""shrub"", ""shrub"", ""shrub tree"")","NULL","NULL","NULL"
"3","Abrophyllum","1",1,"FALSE","FALSE","FALSE","FALSE","FALSE","1","827","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""tree"", ""tree"", ""shrub tree"", ""tree"", ""tree"", ""shrub tree"", ""tree"", ""shrub tree"", ""shrub tree"", ""shrub tree"")","NULL","c(""0.046345"", ""0.049"", ""0.049"", ""0.0556"")","endozoochory"
"4","Acanthocarpus","1",7,"FALSE","FALSE","FALSE","FALSE","FALSE","1","932","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""shrub"", ""shrub"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""shrub"")","NULL","c(""10.6235"", ""53.584"")","NULL"
"5","Acanthocladium","1",1,"FALSE","FALSE","FALSE","FALSE","FALSE","0.987654320987654","81","TRUE","1","endemic","ALA taxonomy error",0,0,0,0,0,0,0,0,"c(""shrub"", ""shrub"", ""shrub"", ""shrub"")","NULL","0.3856","NULL"
"6","Aceratium","1",5,"FALSE","FALSE","FALSE","TRUE","TRUE","0.735015772870662","634","TRUE","3","non-endemic",NA,1,0,0,0,0,0,0,0,"c(""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"")","NULL","930","NULL"
"7","Achnophora","1",1,"FALSE","FALSE","FALSE","FALSE","FALSE","1","57","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""herb"", ""herb"", ""herb"")","NULL","c(""0.224"", ""0.2812"")","NULL"
"8","Acianthus","1",11,"TRUE","TRUE","FALSE","TRUE","FALSE","0.973062763760438","11137","TRUE","4","non-endemic",NA,0,0,0,0,0,0,0,0,"c(""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb""
)","NULL","c(""0.001"", ""0.001"")","c(""barochory"", ""barochory"", ""anemochory"", ""anemochory"", ""anemochory"", ""anemochory"", ""anemochory"", ""anemochory"", ""anemochory"", ""anemochory"", ""anemochory"", ""anemochory"", ""anemochory"")"
"9","Acidonia","1",1,"FALSE","FALSE","FALSE","FALSE","FALSE","1","112","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"")","NULL","NULL","NULL"
"10","Aciphylla","1",2,"TRUE","FALSE","FALSE","TRUE","FALSE","0.284500693481276","5768","TRUE","3","non-endemic",NA,0,0,0,0,0,0,0,0,"c(""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"")","NULL","c(""5.144"", ""4.924"", ""5.466"", ""4.6768"", ""4.403"", ""4.934"", ""5.458"", ""5.4408"", ""5.706"", ""3.655"", ""4.692"", ""4.854"", ""4.9076"", ""4.572"", ""3.853"", ""5.88"", ""4.167"", ""4.123"", ""3.67"", ""3.596"", ""4.316"", ""4.941"", ""3.692"", ""4.1329"", ""4.1392"", ""3.288"", ""4.05"", ""3.005"", ""3.244"", ""2.564"", ""2.426"", ""4.126"", ""3.864"", ""3.394"", ""3.225"", ""5.1244"", ""9.3476"", ""4.292"", ""5.7208"", ""6.57"", ""5.148"", ""4.82"")","c(""zoochory"", ""zoochory"", ""zoochory"")"
"11","Ackama","1",2,"TRUE","FALSE","FALSE","TRUE","FALSE","0.933261183261183","2772","TRUE","3","non-endemic",NA,1,0,0,0,0,0,0,0,"c(""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"")","wing_or_plume","0.138","anemochory hydrochory"
"12","Acomis","1",4,"FALSE","FALSE","FALSE","FALSE","FALSE","1","235","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""herb"", ""herb"", ""herb"", ""herb"", ""herb"")","NULL","c(""0.344"", ""0.486"")","NULL"
"13","Acradenia","1",2,"FALSE","FALSE","FALSE","FALSE","FALSE","0.998525073746313","678","FALSE","0","endemic",NA,1,0,0,0,0,0,0,0,"c(""tree"", ""shrub tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""shrub tree"")","none","c(""4.476"", ""12.0148"")","NULL"
"14","Acriopsis","1",1,"FALSE","FALSE","FALSE","TRUE","TRUE","0.468354430379747","79","TRUE","3","non-endemic",NA,0,0,0,0,0,0,0,0,"c(""herb"", ""herb"", ""herb"")","NULL","NULL","NULL"
"15","Acrophyllum","1",1,"FALSE","FALSE","FALSE","FALSE","FALSE","0.994011976047904","167","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""shrub"", ""shrub"", ""shrub"", ""shrub"")","NULL","0.0552","NULL"
