genus,prop_endemic,species_number,nz,nc,ng,indo,wcvp
Abildgaardia,1,2,FALSE,FALSE,TRUE,TRUE,TRUE
Abroma,1,1,FALSE,FALSE,FALSE,TRUE,TRUE
Abrophyllum,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Acanthocarpus,1,7,FALSE,FALSE,FALSE,TRUE,FALSE
Acanthocladium,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Aceratium,1,5,FALSE,FALSE,FALSE,TRUE,TRUE
Achnophora,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Acianthus,1,11,TRUE,TRUE,FALSE,TRUE,TRUE
Acidonia,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Aciphylla,1,2,TRUE,FALSE,FALSE,TRUE,TRUE
Ackama,1,2,TRUE,FALSE,FALSE,TRUE,TRUE
Acomis,1,4,FALSE,FALSE,FALSE,TRUE,FALSE
Acradenia,1,2,FALSE,FALSE,FALSE,TRUE,FALSE
Acriopsis,1,1,FALSE,FALSE,FALSE,TRUE,TRUE
Acrophyllum,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Acrothamnus,1,4,TRUE,FALSE,FALSE,TRUE,TRUE
Acrotriche,1,18,FALSE,FALSE,FALSE,TRUE,FALSE
Actinobole,1,4,FALSE,FALSE,FALSE,TRUE,FALSE
Actinodium,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Actinoschoenus,1,5,FALSE,TRUE,FALSE,TRUE,TRUE
Actinotus,1,19,TRUE,FALSE,FALSE,TRUE,TRUE
Actites,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Acunniana,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Adansonia,1,1,FALSE,FALSE,TRUE,TRUE,TRUE
Adelphacme,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Adenanthos,1,31,FALSE,FALSE,FALSE,TRUE,FALSE
Adenochilus,1,1,TRUE,FALSE,FALSE,TRUE,TRUE
Adriana,1,2,FALSE,FALSE,FALSE,TRUE,FALSE
Aeginetia,1,1,FALSE,FALSE,FALSE,TRUE,TRUE
Aenictophyton,1,2,FALSE,FALSE,FALSE,TRUE,FALSE
Agastachys,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Agiortia,1,3,FALSE,FALSE,FALSE,TRUE,FALSE
Agonis,1,4,TRUE,FALSE,TRUE,TRUE,FALSE
Agrostocrinum,1,2,FALSE,FALSE,FALSE,TRUE,FALSE
Ajuga,1,2,TRUE,FALSE,TRUE,TRUE,TRUE
Akania,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Alania,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Aldrovanda,1,1,FALSE,FALSE,FALSE,TRUE,TRUE
Alexfloydia,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Alexgeorgea,1,3,FALSE,FALSE,FALSE,TRUE,FALSE
Allittia,1,2,FALSE,FALSE,FALSE,TRUE,FALSE
Allocasuarina,1,61,TRUE,FALSE,FALSE,TRUE,TRUE
Allopterigeron,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Allosyncarpia,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Almaleea,1,5,FALSE,FALSE,FALSE,TRUE,FALSE
Althaea,1,1,TRUE,FALSE,TRUE,TRUE,TRUE
Aluta,1,5,FALSE,FALSE,FALSE,TRUE,FALSE
Alyogyne,1,4,FALSE,FALSE,FALSE,TRUE,FALSE
Ammobium,1,2,TRUE,FALSE,FALSE,TRUE,TRUE
Amorphospermum,1,1,FALSE,FALSE,FALSE,TRUE,TRUE
Amperea,1,8,FALSE,FALSE,FALSE,TRUE,FALSE
Amphibolis,1,2,FALSE,FALSE,FALSE,TRUE,FALSE
Amphipogon,1,9,FALSE,FALSE,FALSE,TRUE,FALSE
Anacampseros,1,1,FALSE,FALSE,TRUE,TRUE,TRUE
Anarthria,1,6,FALSE,FALSE,FALSE,TRUE,FALSE
Ancistrachne,1,2,FALSE,TRUE,FALSE,TRUE,TRUE
Andersonia,1,29,FALSE,FALSE,FALSE,TRUE,FALSE
Androcalva,1,33,FALSE,FALSE,FALSE,TRUE,FALSE
Androstoma,1,1,TRUE,FALSE,FALSE,TRUE,TRUE
Anemocarpa,1,3,FALSE,FALSE,FALSE,TRUE,FALSE
Anemone,1,1,TRUE,FALSE,TRUE,TRUE,TRUE
Angianthus,1,21,FALSE,FALSE,FALSE,TRUE,FALSE
Angophora,1,10,TRUE,FALSE,FALSE,TRUE,FALSE
Anigozanthos,1,11,TRUE,FALSE,TRUE,TRUE,TRUE
Anisopogon,1,1,FALSE,FALSE,FALSE,TRUE,TRUE
Anisotome,1,1,TRUE,FALSE,FALSE,TRUE,TRUE
Anodopetalum,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Anoectochilus,1,1,FALSE,TRUE,FALSE,TRUE,TRUE
Anopterus,1,2,FALSE,FALSE,FALSE,TRUE,FALSE
Anthobolus,1,3,FALSE,FALSE,FALSE,TRUE,TRUE
Anthocercis,1,10,FALSE,FALSE,FALSE,TRUE,FALSE
Anthotium,1,4,FALSE,FALSE,FALSE,TRUE,FALSE
Anthotroche,1,3,FALSE,FALSE,FALSE,TRUE,FALSE
Anticoryne,1,3,FALSE,FALSE,FALSE,TRUE,FALSE
Aotus,1,17,FALSE,FALSE,FALSE,TRUE,FALSE
Apalochlamys,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Apatophyllum,1,5,FALSE,FALSE,FALSE,TRUE,FALSE
Aphanes,1,2,TRUE,FALSE,FALSE,TRUE,TRUE
Aphanopetalum,1,2,TRUE,FALSE,FALSE,TRUE,FALSE
Aphelia,1,6,FALSE,FALSE,FALSE,TRUE,FALSE
Aphyllorchis,1,2,FALSE,FALSE,FALSE,TRUE,TRUE
